,Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
3424,Long keel w/trans. hung rudder,Masthead Sloop,8.23 m,6.17 m,2.34 m,26.94 m<sup>2</sup>,1.22 m,"3,048 kg","1,361 kg",13.07,44.64,361.28,FG,,1968,,Alan Buchanan,30.89,1.63,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/halcyon-27/pdf"">PDF</a>",HALCYON 27,,Offshore Yachts Ltd. (UK),,1975,Wickstrom,Gas,7,,,,,,,,,,
3425,Twin Keel,Masthead  Ketch,8.00 m,6.00 m,2.67 m,50.73 m<sup>2</sup>,0.95 m,"2,795 kg","1,270 kg",26.07,45.44,360.91,FG,,1971,90,Alan Buchanan,24.46,1.91,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/halcyon-clipper-26/pdf"">PDF</a>",HALCYON CLIPPER 26,,Offshore Yachts Ltd. (UK),10,,Bukh,Diesel,10,,,,,,,,,,
3426,Long keel w/trans. hung rudder,Fractional  Sloop,4.80 m,3.81 m,1.68 m,13.56 m<sup>2</sup>,0.91 m,733 kg,288 kg,17.01,39.32,369.14,Wood,Lead,1947,,Taylor Newell,19.10,1.88,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/half-pint-newell/pdf"">PDF</a>",HALF PINT (NEWELL),,Mill River Boat Works (USA),,,,,,,,,,,,,,,
3427,Fin w/transom hung rudder,Masthead Sloop,7.95 m,6.71 m,2.68 m,32.52 m<sup>2</sup>,1.40 m,"2,495 kg","1,100 kg",18.03,44.09,230.59,FG,Iron,1978,469,Olle Enderlein,20.23,1.99,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-26/pdf"">PDF</a>",HALLBERG-RASSY 26,,Hallberg-Rassy (SWE),MD 5A,1985,Volvo Penta,Diesel,8,42 L,,64 L,,,,,,,
3428,Fin with rudder on skeg,Masthead Sloop,8.89 m,7.25 m,2.82 m,36.42 m<sup>2</sup>,1.60 m,"3,801 kg","1,751 kg",15.25,46.06,277.50,FG,Iron,1982,571,Olle Enderlein / Christoph Rassy,26.32,1.82,1.78,3.84 m,10.21 m,10.52 m,3.20 m,,,19.61 m<sup>2</sup>,16.83 m<sup>2</sup>,15.26,10.91 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-29/pdf"">PDF</a>",HALLBERG-RASSY 29,,Hallberg-Rassy (SWE),2002 S120B,1994,Volvo Penta,Diesel,18,61 L,,121 L,,,,,,,
3429,Fin w/spade rudder,Fractional  Sloop,9.62 m,8.26 m,3.30 m,56.30 m<sup>2</sup>,1.71 m,"4,500 kg","2,000 kg",21.07,44.44,222.54,FG,Lead,1992,356,German Frers,22.58,2.02,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-31/pdf"">PDF</a>",HALLBERG-RASSY 31,,Hallberg-Rassy,2002,2009,Volvo Penta,Diesel,,60 L,1.86 m,190 L,,,,,,14.80 m,
3430,Fin w/spade rudder,Fractional  Sloop,9.42 m,8.80 m,3.18 m,47.20 m<sup>2</sup>,1.80 m,"4,350 kg","1,680 kg",18.07,38.62,177.92,GRP,Lead,2010,,Germán Frers,22.13,1.97,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-310/pdf"">PDF</a>",HALLBERG-RASSY 310,,Hallberg-Rassy,D1-20,,Volvo Penta,Diesel,19,100 L,1.87 m,200 L,,,,,,14.35 m,
3431,Fin with rudder on skeg,Masthead Sloop,9.42 m,7.70 m,3.08 m,45.00 m<sup>2</sup>,1.62 m,"4,900 kg","2,200 kg",15.91,44.89,299.22,FG,Iron,1979,690,Christoph Rassy and Olle Enderlein,28.46,1.83,1.64,12.40 m,4.00 m,11.00 m,3.50 m,,,24.79 m<sup>2</sup>,19.25 m<sup>2</sup>,15.57,13.03 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-312/pdf"">PDF</a>",HALLBERG-RASSY 312,,Hallberg-Rassy (SWE),MD 11C/110S saildrive,1993,Volvo Penta,diesel,23,110 L,1.83 m,120 L,,,,,,13.73 m,
3432,Fin w/spade rudder,Fractional  Sloop,10.28 m,8.69 m,3.42 m,55.00 m<sup>2</sup>,1.85 m,"5,300 kg","2,100 kg",18.46,39.63,225.32,FG,Lead,1990,484,German Frers,23.99,1.98,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-34/pdf"">PDF</a>",HALLBERG-RASSY 34,,Hallberg-Rassy (SWE),MD 2003,2005,Volvo Penta,Diesel,28,155 L,1.86 m,255 L,,,,,,15.50 m,
3433,Fin w/bulb & dual rudders,Fractional  Sloop,10.95 m,10.10 m,3.47 m,64.20 m<sup>2</sup>,1.90 m,"5,980 kg","2,300 kg",19.88,38.46,161.71,GRP,Lead,2019,,Germán Frers,23.51,1.93,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-340/pdf"">PDF</a>",HALLBERG-RASSY 340,,Hallberg-Rassy,D1-30,,Volvo Penta,Diesel,29,188 L,1.91 m,277 L,,,,,,16.42 m,
3434,Fin w/bulb & spade rudder,Fractional  Sloop,10.32 m,9.09 m,3.42 m,60.00 m<sup>2</sup>,1.82 m,"5,300 kg","1,950 kg",20.14,36.79,196.71,FG,Lead,2005,329,Germán Frers,23.25,1.98,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-342/pdf"">PDF</a>",HALLBERG-RASSY 342,,Hallberg-Rassy (SWE),D1-30,2018,Volvo-Penta,Diesel,29,165 L,1.91 m,265 L,,,,,,15.92 m,
3435,Fin Keel,Masthead Sloop,11.13 m,8.56 m,3.05 m,41.81 m<sup>2</sup>,1.30 m,"5,500 kg",,13.69,,244.74,FG,Lead,1967,760,Olle Enderlein,28.51,1.74,1.88,11.68 m,3.73 m,9.91 m,4.04 m,,,21.81 m<sup>2</sup>,20.00 m<sup>2</sup>,13.69,12.27 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-35/pdf"">PDF</a>",HALLBERG-RASSY 35,,Hallberg-Rassy ,MD 21,1978,Volvo Penta,Diesel,,,,,,,,,,,
3436,Fin with rudder on skeg,Masthead Sloop,10.59 m,8.71 m,3.38 m,55.74 m<sup>2</sup>,1.68 m,"6,700 kg","3,000 kg",16.01,44.78,282.45,FG,Incapsulated steel,1978,802,Christoph Rassy / Olle Enderlein,30.47,1.81,1.80,14.23 m,4.05 m,12.77 m,4.21 m,,,28.85 m<sup>2</sup>,26.86 m<sup>2</sup>,16.00,14.80 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-352/pdf"">PDF</a>",HALLBERG-RASSY 352,,Hallberg-Rassy,MD 2003 Turbo,1991,Volvo Penta,Diesel,43,240 L,,300 L,,,,,,14.53 m,
3437,Fin with rudder on skeg,Masthead Sloop,10.87 m,8.72 m,3.55 m,62.90 m<sup>2</sup>,1.87 m,"7,500 kg","3,400 kg",16.75,45.34,315.19,FG,Lead,1989,602,German Frers,31.61,1.83,1.54,14.40 m,4.04 m,12.62 m,4.75 m,,,29.08 m<sup>2</sup>,29.96 m<sup>2</sup>,15.72,14.95 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-36/pdf"">PDF</a>",HALLBERG-RASSY 36,,Hallberg-Rassy,MD22,2003,Volvo Penta,Diesel,57,341 L,,409 L,,,,,,,
3438,Fin w/spade rudder,Masthead Sloop,11.32 m,10.20 m,3.55 m,69.03 m<sup>2</sup>,1.91 m,"7,500 kg","3,200 kg",18.39,42.67,197.04,FG,,2003,200,German Frers,28.09,1.83,2.73,14.55 m,4.30 m,13.50 m,4.75 m,,,31.29 m<sup>2</sup>,32.05 m<sup>2</sup>,16.87,15.17 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-37/pdf"">PDF</a>",HALLBERG-RASSY 37,,Hallberg-Rassy (SWE),,2012,Yanmar or Volvo,Diesel,,344 L,,405 L,,,,,,16.75 m,
3439,Fin with rudder on skeg,Fractional  Sloop,11.35 m,10.25 m,3.60 m,65.87 m<sup>2</sup>,1.99 m,"7,500 kg","2,900 kg",17.54,38.67,194.07,FG,Lead,2010,,Germán Frers,27.47,1.86,2.84,14.38 m,4.80 m,15.04 m,4.17 m,,,34.52 m<sup>2</sup>,31.35 m<sup>2</sup>,17.54,15.16 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-372/pdf"">PDF</a>",HALLBERG-RASSY 372,,Hallberg-Rassy,D2-55,,Volvo Penta,Diesel,,269 L,,424 L,,,,,,,
3440,Fin with rudder on skeg,Masthead Sloop,11.57 m,9.50 m,3.48 m,60.50 m<sup>2</sup>,1.75 m,"8,500 kg","3,700 kg",14.82,43.53,276.24,FG,Iron,1977,202,Olle Enderlein,34.03,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-38/pdf"">PDF</a>",HALLBERG-RASSY 38,,Hallberg-Rassy,MD 21,1986,Volvo Penta,Diesel,55,350 L,1.85 m,400 L,,,,,,15.75 m,
3441,Fin with rudder on skeg,Masthead Sloop,11.62 m,9.50 m,3.64 m,70.50 m<sup>2</sup>,1.84 m,"9,000 kg","3,900 kg",16.63,43.33,292.49,FG,Lead,1984,116,Christoph Rassy/Olle Enderlein,33.91,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-382/pdf"">PDF</a>",HALLBERG-RASSY 382,,Hallberg-Rassy,MD30,1992,Volvo Penta,Diesel,62,335 L,,580 L,,,,,,16.50 m,
3442,Fin with rudder on skeg,Masthead Sloop,11.85 m,9.85 m,3.76 m,82.00 m<sup>2</sup>,1.85 m,"10,000 kg","4,200 kg",18.03,42.00,291.52,FG,,1991,209,German Frers,35.00,1.76,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-39/pdf"">PDF</a>",HALLBERG-RASSY 39,,Hallberg-Rassy,MD22,2003,Volvo Penta,Diesel,57,376 L,,450 L,,,,,,17.30 m,
3443,Fin w/rudder on partial skeg,Masthead Sloop,12.40 m,10.60 m,3.82 m,80.80 m<sup>2</sup>,1.99 m,"10,000 kg","4,100 kg",17.77,41.00,233.93,GRP,Lead,2002,162,Germán Frers,32.16,1.79,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-40/pdf"">PDF</a>",HALLBERG-RASSY 40,,Hallberg-Rassy,D2-55,2015,Volvo Penta,Diesel,55,445 L,1.92 m,460 L,,,,,,18.30 m,
3444,Fin w/rudder on partial skeg,Masthead Sloop,12.40 m,11.08 m,3.82 m,81.48 m<sup>2</sup>,1.99 m,"11,000 kg","4,100 kg",16.82,37.27,225.40,GRP,Lead,2015,6,Germán Frers,34.34,1.74,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-40-mkii/pdf"">PDF</a>",HALLBERG-RASSY 40 MKII,,Hallberg-Rassy,D2-60,2018,Volvo Penta,Diesel,60,445 L,1.92 m,460 L,,,,,,18.55 m,
3445,Fin w/bulb & dual rudders,Fractional  Sloop,13.06 m,11.74 m,4.18 m,90.10 m<sup>2</sup>,1.92 m,"11,000 kg","3,650 kg",18.59,33.18,189.42,GRP,Lead,2020,,Germán Frers,28.80,1.90,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-400/pdf"">PDF</a>",HALLBERG-RASSY 400,,Hallberg-Rassy,D2-60,,Volvo Penta,Diesel,60,400 L,1.95 m,520 L,,,,,,19.75 m,
3446,Fin w/bulb & dual rudders,Fractional  Sloop,13.06 m,11.74 m,4.18 m,90.10 m<sup>2</sup>,1.92 m,"11,000 kg","3,650 kg",18.59,33.18,189.42,GRP,Lead,2020,,Germán Frers,28.80,1.90,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-40c/pdf"">PDF</a>",HALLBERG-RASSY 40C,,Hallberg-Rassy,D2-60,,Volvo Penta,Diesel,60,400 L,1.95 m,520 L,,,,,,19.75 m,
3447,Fin Keel,Masthead  Ketch,12.50 m,10.42 m,3.61 m,71.63 m<sup>2</sup>,1.85 m,"9,900 kg","3,800 kg",15.86,38.39,244.21,FG,,1975,105,Olle Enderlein,34.68,1.70,2.12,15.24 m,5.27 m,13.56 m,4.63 m,,,40.18 m<sup>2</sup>,31.42 m<sup>2</sup>,15.85,16.13 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-41/pdf"">PDF</a>",HALLBERG-RASSY 41,,Hallberg-Rassy,MD 21 A,1981,Volvo Penta,Diesel,,,,,,,,,,,
3448,Fin w/spade rudder,Fractional  Sloop,12.61 m,11.50 m,4.11 m,90.00 m<sup>2</sup>,1.99 m,"11,100 kg","4,000 kg",18.46,36.03,203.40,GRP,Lead,2011,41,Germán Frers,30.49,1.86,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-412/pdf"">PDF</a>",HALLBERG-RASSY 412,,Hallberg-Rassy,D2-75,2021,Volvo Penta,Diesel,75,344 L,1.96 m,680 L,,,,,,19.65 m,
3449,Fin with rudder on skeg,Masthead  Ketch,12.93 m,10.50 m,3.78 m,79.00 m<sup>2</sup>,2.05 m,"11,500 kg","4,500 kg",15.83,39.13,276.83,GRP,Steel,1980,252,Christoph Rassy / Olle Enderlein,37.20,1.69,1.57,14.45 m,5.00 m,13.08 m,4.47 m,,,36.11 m<sup>2</sup>,29.21 m<sup>2</sup>,13.09,15.29 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-42-enderlein/pdf"">PDF</a>",HALLBERG-RASSY 42 (ENDERLEIN),,Hallberg-Rassy,MD 31A,1991,Volvo Penta,Diesel,62,395 L,1.85 m,725 L,,,7.50 m,2.50 m,,16.27 m,
3450,Fin w/rudder on partial skeg,Masthead Sloop,13.22 m,10.35 m,3.95 m,89.00 m<sup>2</sup>,2.00 m,"12,500 kg","4,700 kg",16.87,37.60,314.12,FG,Lead,1990,181,German Frers,38.19,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-42-frers/pdf"">PDF</a>",HALLBERG-RASSY 42 (FRERS),,Hallberg-Rassy (SWE),TMD 22,2001,Volvo Penta,Diesel,76,420 L,2.00 m,685 L,,,,,,18.50 m,
3451,Fin with rudder on skeg,Masthead Sloop,13.57 m,11.75 m,4.08 m,92.81 m<sup>2</sup>,2.00 m,"12,700 kg","4,500 kg",17.41,35.43,218.18,FG,Lead,2001,199,German Frers,33.87,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-43-mki/pdf"">PDF</a>",HALLBERG-RASSY 43 MKI,,Hallberg-Rassy (SWE),D2-75,2016,Volvo Penta,Diesel,75,394 L,,651 L,,,,,,,
3452,Fin w/dual rudders,Fractional  Sloop,14.45 m,12.88 m,4.20 m,109.60 m<sup>2</sup>,2.10 m,"13,300 kg","5,300 kg",19.93,39.85,173.44,GRP,Lead,2016,,Germán Frers,31.44,1.79,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-44/pdf"">PDF</a>",HALLBERG-RASSY 44,,Hallberg-Rassy,D2-75,,Volvo Penta,Diesel,75,420 L,1.97 m,745 L,,,,,,21.60 m,
3453,Fin w/rudder on partial skeg,Masthead Sloop,14.12 m,11.60 m,4.32 m,94.57 m<sup>2</sup>,1.88 m,"16,000 kg","6,400 kg",15.21,40.00,285.63,GRP,Lead,1988,71,Germán Frers,39.38,1.73,1.71,18.00 m,5.65 m,15.90 m,5.50 m,,,50.86 m<sup>2</sup>,43.72 m<sup>2</sup>,15.21,18.87 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-45/pdf"">PDF</a>",HALLBERG-RASSY 45,,Hallberg-Rassy,TMD 31A,1996,Volvo Penta,Diesel,94,590 L,,"1,000 L",,,,,,19.40 m,
3454,Fin w/rudder on partial skeg,Masthead Sloop,14.78 m,11.90 m,4.35 m,100.00 m<sup>2</sup>,1.88 m,"16,500 kg","6,600 kg",15.75,40.00,272.92,FG,Lead,1995,134,German Frers,38.95,1.73,1.78,18.00 m,5.65 m,15.90 m,5.50 m,,,50.85 m<sup>2</sup>,43.71 m<sup>2</sup>,14.90,18.86 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-46/pdf"">PDF</a>",HALLBERG-RASSY 46,,Hallberg-Rassy (SWE),TAMD 31S,2005,Volvo Penta,Diesel,100,660 L,1.97 m,920 L,,,,,,19.51 m,
3455,Fin w/rudder on partial skeg,Masthead Sloop,14.99 m,13.25 m,4.50 m,123.40 m<sup>2</sup>,2.35 m,"18,500 kg","7,750 kg",18.01,41.89,221.66,GRP,Lead,2004,69,Germán Frers,38.70,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-48/pdf"">PDF</a>",HALLBERG-RASSY 48,,Hallberg-Rassy,D3-110,2013,Volvo Penta,Diesel,110,800 L,1.99 m,910 L,,,,,,21.75 m,
3456,Fin w/rudder on partial skeg,Masthead Sloop,14.99 m,13.25 m,4.50 m,123.40 m<sup>2</sup>,2.35 m,"18,500 kg","7,750 kg",18.01,41.89,221.66,GRP,Lead,2013,21,Germán Frers,38.70,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-48-mkii/pdf"">PDF</a>",HALLBERG-RASSY 48 MKII,,Hallberg-Rassy,D3-110,2020,Volvo Penta,Diesel,110,800 L,1.99 m,910 L,,,,,,21.75 m,
3457,Fin with rudder on skeg,Staysail Ketch,14.94 m,12.50 m,4.42 m,116.04 m<sup>2</sup>,2.21 m,"17,554 kg","8,119 kg",17.54,46.25,250.68,FG,,1982,89,Olle Enderlein / Christoph Rassy,39.15,1.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-49/pdf"">PDF</a>",HALLBERG-RASSY 49,,Hallberg-Rassy,MD40-TA,1997,Volvo Penta,Diesel,150,765 L,,"1,401 L",,,,,,,
3458,Fin w/bulb & dual rudders,Fractional  Sloop,16.34 m,14.80 m,5.00 m,136.00 m<sup>2</sup>,2.35 m,"21,000 kg","7,100 kg",18.25,33.81,180.50,GRP,Lead,2020,,Germán Frers,34.45,1.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-50/pdf"">PDF</a>",HALLBERG-RASSY 50,,Hallberg-Rassy (SWE),4JH110CR,,Yanmar,Diesel,110,"1,000 L",2.14 m,800 L,,,,,,24.90 m,
3459,Fin with rudder on skeg,Masthead  Ketch,16.43 m,14.96 m,4.65 m,130.62 m<sup>2</sup>,2.29 m,"23,020 kg","8,999 kg",16.48,39.09,191.63,FG,,1992,88,German Frers,41.23,1.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-53/pdf"">PDF</a>",HALLBERG-RASSY 53,,Hallberg-Rassy (SWE),TAMD41BHD,2006,Volvo Penta,Diesel,145,844 L,,"1,018 L",,,,,,,
3460,Fin w/spade rudder,Masthead Sloop,16.74 m,14.30 m,4.70 m,141.49 m<sup>2</sup>,2.30 m,"26,300 kg","9,750 kg",16.34,37.07,250.59,FG,Lead,2006,44,German Frers,47.56,1.60,2.11,22.48 m,6.19 m,20.25 m,7.10 m,,,69.58 m<sup>2</sup>,71.88 m<sup>2</sup>,16.34,23.32 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-54/pdf"">PDF</a>",HALLBERG-RASSY 54,,Hallberg-Rassy (SWE),D4-180,2012,Volvo Penta,Diesel,,901 L,,"1,030 L",,,,,,24.50 m,
3461,Fin w/spade rudder,Masthead Sloop,16.68 m,14.30 m,4.73 m,151.30 m<sup>2</sup>,2.30 m,"26,300 kg","9,750 kg",17.47,37.07,250.59,GRP,Lead,2012,9,Germán Frers,47.21,1.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-55/pdf"">PDF</a>",HALLBERG-RASSY 55,,Hallberg-Rassy,D4-180,2017,Volvo Penta,Diesel,180,900 L,2.02 m,"1,050 L",,,,,,24.50 m,
3462,Fin w/bulb & dual rudders,Fractional  Sloop,18.44 m,16.77 m,5.15 m,163.00 m<sup>2</sup>,2.43 m,"28,000 kg","9,900 kg",18.06,35.36,165.45,GRP,Lead,2019,,Germán Frers,39.01,1.71,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-57/pdf"">PDF</a>",HALLBERG-RASSY 57,,Hallberg-Rassy,D4-175,,Volvo Penta,Diesel,175,"1,050 L",2.16 m,"1,030 L",,,,,,26.90 m,
3463,Fin with rudder on skeg,Cutter,18.88 m,15.30 m,5.15 m,169.92 m<sup>2</sup>,2.50 m,"33,000 kg","11,000 kg",16.87,33.33,256.74,FG,Lead,1997,25,German Frers,48.49,1.62,2.15,24.77 m,7.66 m,21.78 m,7.43 m,,,94.87 m<sup>2</sup>,80.93 m<sup>2</sup>,17.45,25.93 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-62/pdf"">PDF</a>",HALLBERG-RASSY 62,,Hallberg-Rassy (SWE),M225Ti,2011,Perkins,Diesel,,"1,609 L",,"1,560 L",,,,,,,
3464,Fin w/bulb & spade rudder,Masthead Sloop,19.85 m,17.53 m,5.20 m,173.00 m<sup>2</sup>,2.50 m,"36,000 kg","12,700 kg",16.21,35.28,186.28,GRP,Lead,2011,,Germán Frers,46.94,1.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-64/pdf"">PDF</a>",HALLBERG-RASSY 64,,Hallberg-Rassy,D6-300,,Volvo Penta,Diesel,300,"1,800 L",,"1,300 L",,,,,,27.40 m,
3465,Long Keel,Masthead Sloop,9.40 m,8.56 m,3.25 m,32.98 m<sup>2</sup>,1.15 m,"5,200 kg","1,800 kg",11.21,34.61,230.66,FG,Iron,1981,195,Olle Enderlein / Christoph Rassy,26.20,1.89,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-94-kutter/pdf"">PDF</a>",HALLBERG-RASSY 94 KUTTER,,Hallberg-Rassy,2003,1994,Volvo Penta,Diesel,43,151 L,,151 L,,,,,,,
3466,Fin Keel,Masthead Sloop,8.61 m,6.40 m,2.36 m,34.47 m<sup>2</sup>,1.27 m,"3,100 kg",,16.53,,329.48,Wood/FG,,1955,536,Harry Hallberg,29.79,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-p-28/pdf"">PDF</a>",HALLBERG-RASSY P-28,,Hallberg-Rassy (SWE),O-21,1973,Albin,Gas,,42 L,,64 L,,,,,,,
3467,Fin w/spade rudder,Masthead Sloop,14.63 m,12.58 m,4.42 m,98.29 m<sup>2</sup>,1.85 m,"16,700 kg","5,448 kg",15.36,32.62,233.83,FG,,2010,6,Chuck Paine,37.34,1.75,,,,16.72 m,5.36 m,,,,44.82 m<sup>2</sup>,7.00,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallmark-480/pdf"">PDF</a>",HALLMARK 480,,"Pantawee Marine Co., Ltd.",4JH4-TE,2015,Yanmar,Diesel,75,151 L,,201 L,,,,,,,
3468,Fin with rudder on skeg,Masthead Sloop,8.33 m,7.01 m,2.93 m,,1.22 m,"3,180 kg","1,022 kg",,32.14,257.25,FG,,1982,42,Michael Volmer,21.89,2.01,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/halman-horizon/pdf"">PDF</a>",HALMAN HORIZON,,Halman Manufacturing Co. (CAN),,,Volvo,Diesel,9,38 L,,114 L,,,,,,,
3469,Long keel w/trans. hung rudder,Masthead Sloop,8.99 m,6.96 m,2.90 m,39.95 m<sup>2</sup>,1.37 m,"4,082 kg","2,041 kg",15.95,50.00,337.66,FG,Iron,1979,95,John B Sharp,27.92,1.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/halmatic-30/pdf"">PDF</a>",HALMATIC 30,,Halmatic Ltd. (UK),,1988,Volvo,Diesel,13,45 L,,170 L,,,,,,,
3470,Twin Keel,Masthead Sloop,8.63 m,7.03 m,2.74 m,26.01 m<sup>2</sup>,0.99 m,"2,994 kg","1,057 kg",12.77,35.30,239.66,FG,,1970,,Camper & Nicholson,22.16,1.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/halmatic-880/pdf"">PDF</a>",HALMATIC 8.80,,Halmatic,,1981,Perkins,Diesel,,136 L,,136 L,,,,,,,
3471,Centerboard Dinghy,Gunter,4.27 m,3.51 m,1.52 m,10.22 m<sup>2</sup>,0.86 m,181 kg,,32.46,,117.41,Wood (carvel),,1925,120,A. R. Luke,5.91,2.72,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hamble-star/pdf"">PDF</a>",HAMBLE STAR,0.23 m,A. R. Luke/Elephant Boatyard (UK),,,,,,,,,www.erithyachtclub.org,,,,,,
3472,Centerboard Dinghy,Fractional  Sloop,5.49 m,4.27 m,1.76 m,16.26 m<sup>2</sup>,1.07 m,342 kg,,33.83,,122.83,Wood or FG,,1934,900,Vincent Serio,7.39,2.55,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hampton-one-design/pdf"">PDF</a>",HAMPTON ONE-DESIGN,0.18 m,,,,,,,,,,,,,,,,
3473,Centerboard (Trunk),Gaff head Cat,4.27 m,,2.03 m,14.86 m<sup>2</sup>,1.37 m,340 kg,,31.06,,,FG,,1969,,Merle Hallett,,2.94,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/handy-cat-14/pdf"">PDF</a>",HANDY CAT 14,0.30 m,Cape Dory/Handy Boat Serv.,,,,,,,,,,,,,,,
3474,Long Keel,Cutter,9.98 m,8.89 m,3.56 m,55.74 m<sup>2</sup>,1.68 m,"8,391 kg","3,084 kg",13.78,36.76,332.75,FG,Iron,1980,165,Harwood Ives,35.84,1.77,1.28,12.19 m,5.49 m,10.36 m,4.30 m,,,33.45 m<sup>2</sup>,22.27 m<sup>2</sup>,13.77,13.37 m,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-33/pdf"">PDF</a>",HANS CHRISTIAN 33,,Anderson Yachts Ltd. (TAIWAN),,,,Diesel,,303 L,,454 L,,,,,,15.01 m,
3475,Long Keel,Cutter,10.36 m,8.89 m,3.35 m,62.80 m<sup>2</sup>,1.78 m,"8,800 kg","3,266 kg",15.04,37.11,349.29,FG,Iron,1974,34,Robert Perry,40.17,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hans-christian-34/pdf"">PDF</a>",HANS CHRISTIAN 34,,Hans Christian/Union Ship Co.(TAIWAN),,1979,Volvo,Diesel,,303 L,,454 L,,,,,,,
