,Construction
grp with vinylester,0.00023820867079561695
molded ply/fg,0.00023820867079561695
wood strip/fg,0.00023820867079561695
grp w/ pvc foam core and 1st layer vinylester resin,0.00023820867079561695
fg/ e glass w/balsa core,0.00023820867079561695
fg w/airex hull/klegecell deck,0.00023820867079561695
fg w/carbon infusion,0.00023820867079561695
foam core epoxy laminate,0.00023820867079561695
infused fg composite with vinylester resin and balsa core,0.00023820867079561695
mahogany,0.00023820867079561695
fg vinylester/pvc hull/balsa deck,0.00023820867079561695
molded plywood or fg,0.00023820867079561695
fg balsa cored deck,0.00023820867079561695
fg reinforced vinylester with divinycell core,0.00023820867079561695
fg with balsa and foam core,0.00023820867079561695
fgw/balsa cored hull & deck,0.00023820867079561695
steel/alu,0.00011910433539780847
fg/wood coachroof,0.00011910433539780847
fg solid laminate with balsa cored deck,0.00011910433539780847
cold molded mahogany,0.00011910433539780847
fg  (solid),0.00011910433539780847
carbon (pre-preg),0.00011910433539780847
wood / steel,0.00011910433539780847
foam sad/vinylester,0.00011910433539780847
plywood/multi-chine,0.00011910433539780847
solid lam. below waterline w kevlar,0.00011910433539780847
wood planked/molded plywood/fg,0.00011910433539780847
wood (cedar on oak),0.00011910433539780847
fg (poly. core),0.00011910433539780847
frp with airex foam core,0.00011910433539780847
all materials allowed,0.00011910433539780847
advanced comp,0.00011910433539780847
fg (vacuum-resin-infused),0.00011910433539780847
carbon inside/kevlar ext./scrimp,0.00011910433539780847
fg with foam core above the waterline,0.00011910433539780847
divinicell sandwich,0.00011910433539780847
polyester sandwich - infused pvc foam,0.00011910433539780847
carbon-airex foam-araldite epoxy sandwich,0.00011910433539780847
fg w/polyurethane foam sand,0.00011910433539780847
frp epoxy with carbon foam sandwich,0.00011910433539780847
grp monolithic construction,0.00011910433539780847
fg-pvc core,0.00011910433539780847
grp/timber,0.00011910433539780847
fg infused w/pvc foam topsides and deck/vinylester,0.00011910433539780847
"fg hull, wood deck",0.00011910433539780847
wood /fg single chine,0.00011910433539780847
wood composite,0.00011910433539780847
eep particle foam,0.00011910433539780847
epoxy/atc core-cell,0.00011910433539780847
epoxy w/foam core,0.00011910433539780847
fg solid laminate hull/ply cored deck,0.00011910433539780847
wood planked on steel,0.00011910433539780847
wood & fg,0.00011910433539780847
"alum., wood or grp",0.00011910433539780847
fg/ solid hull & balsa cored deck,0.00011910433539780847
"fg hull, fg over ply deck & cabin",0.00011910433539780847
fg - composite,0.00011910433539780847
carbon-epoxy sandwich pre-preg,0.00011910433539780847
fg w/balsa deck,0.00011910433539780847
single chine ply/fg,0.00011910433539780847
fg w/ airex core,0.00011910433539780847
fg w/ infused vinylester; pvc foam core,0.00011910433539780847
grp with foam core,0.00011910433539780847
wood double planked,0.00011910433539780847
