,Designer
ron holland/gary hoyt,0.0004764173415912339
bob perry,0.0004764173415912339
dixon yacht design,0.0004764173415912339
craig walters,0.0004764173415912339
peter norlin / jens östmann,0.0004764173415912339
charles d. mower,0.0004764173415912339
george o'brien kennedy,0.0004764173415912339
charles mcgregor,0.0004764173415912339
robert b. harris,0.0004764173415912339
bill soverel,0.0004764173415912339
jack köper,0.0004764173415912339
h. hinckley,0.0004764173415912339
hank kaufman,0.0004764173415912339
gilles vaton/patrick roseo,0.0004764173415912339
hoyt,0.0004764173415912339
john l. watkinson,0.0004764173415912339
g. luyten,0.0004764173415912339
matti pulli,0.0004764173415912339
ian howlett,0.0004764173415912339
paul a. lindh,0.0004764173415912339
peter canning,0.0004764173415912339
gunnar cardell,0.0004764173415912339
hobie alter & phil edwards,0.0004764173415912339
g. l. watson & co. ltd,0.0004764173415912339
xavier faÿ,0.0004764173415912339
gerhard gilgenast,0.0004764173415912339
francis sweisguth,0.0004764173415912339
alan hill,0.0004764173415912339
gary grant,0.0004764173415912339
edward dubois,0.0004764173415912339
andre mauric,0.0004764173415912339
fontana/maletto/navone,0.0004764173415912339
arvid laurin,0.0004764173415912339
henry scheel,0.0004764173415912339
l. wakefield,0.0004764173415912339
steve edmunds/bill roberts,0.0004764173415912339
stephen seaton,0.0004764173415912339
martin horak,0.0004764173415912339
robert humphreys,0.0004764173415912339
xavier faÿ; olivier poncin,0.0004764173415912339
horst e. glacer,0.0004764173415912339
michel bigoin/daniel duvergie,0.0004764173415912339
rob legg,0.0004764173415912339
harry sindle,0.0004764173415912339
edward s. brewer,0.0004764173415912339
rodger martin,0.0004764173415912339
jim young,0.0004764173415912339
jeanneau,0.0004764173415912339
olle enderlein / christoph rassy,0.0004764173415912339
g. william mcvay/bayliner,0.0004764173415912339
carter pyle/joe quigg,0.0004764173415912339
yamaha design group,0.0004764173415912339
amel,0.0004764173415912339
c. r. holman,0.0004764173415912339
amel/berret-racoupeau,0.0004764173415912339
holman and pye,0.0004764173415912339
ben seaborn,0.0004764173415912339
berret racoupeau/nauta design,0.0004764173415912339
thomas wylie,0.0004764173415912339
s&s,0.0004764173415912339
doug peterson/j&j design,0.0004764173415912339
marco lostuzzi,0.0004764173415912339
jerry montgomery,0.0004764173415912339
a.e. luders,0.0004764173415912339
holger b. jensen,0.0004764173415912339
jean jacques herbulot,0.0004764173415912339
alan warwick,0.0004764173415912339
george stadel jr,0.0004764173415912339
frank pryor,0.0004764173415912339
h. streuer,0.0004764173415912339
steven schock,0.0004764173415912339
c. raymond hunt,0.0004764173415912339
jim antrim,0.0004764173415912339
j. r. macalpine-downie,0.0004764173415912339
luca brenta yacht design,0.0004764173415912339
rodney march,0.0004764173415912339
david walters,0.0004764173415912339
gene vernon,0.0004764173415912339
marc lombard yacht design,0.0004764173415912339
christoph rassy / olle enderlein,0.0004764173415912339
dick koopmans,0.0004764173415912339
marc lombard/franck darnet design,0.0004764173415912339
alan gurney,0.0004764173415912339
charles wittholz,0.0004764173415912339
chris mitchell,0.0004764173415912339
bruce bingham,0.0004764173415912339
william tritt,0.0004764173415912339
des townson,0.0004764173415912339
hubert vandestadt,0.0004764173415912339
robert b harris,0.0004764173415912339
rod macalpine-downie/dick gibbs,0.00035731300619342544
berret-racoupeau design,0.00035731300619342544
carl andersson & john h. lindblom,0.00035731300619342544
christian stimson,0.00035731300619342544
peter schmitt,0.00035731300619342544
rod macalpine-downey / dick gibbs,0.00035731300619342544
andré koschel,0.00035731300619342544
c.w. paine,0.00035731300619342544
i. neilson,0.00035731300619342544
rob mazza,0.00035731300619342544
e. g. van de stadt/cees van tongeren,0.00035731300619342544
amf alcort,0.00035731300619342544
olin stephens,0.00035731300619342544
lazzara,0.00035731300619342544
umberto felci/patrick roséo,0.00035731300619342544
nick shein,0.00035731300619342544
alan pape,0.00035731300619342544
s. langevin,0.00035731300619342544
david alan-williams,0.00035731300619342544
maclear & harris,0.00035731300619342544
bruno boström,0.00035731300619342544
cox & stevens,0.00035731300619342544
hugh angleman,0.00035731300619342544
p. harle,0.00035731300619342544
roy seaman,0.00035731300619342544
dick lefeber,0.00035731300619342544
eldredge-mcinnis,0.00035731300619342544
mccurdy and rhodes,0.00035731300619342544
børge quorning,0.00035731300619342544
steven schock/shad turner,0.00035731300619342544
breckenridge marshall,0.00035731300619342544
bill luders,0.00035731300619342544
k.t. kremer,0.00035731300619342544
capital yachts inc,0.00035731300619342544
gilles ollier,0.00035731300619342544
yves-marie tanton,0.00035731300619342544
reuben trane,0.00035731300619342544
carter/northshore,0.00035731300619342544
"farr yacht design, ltd",0.00035731300619342544
joe fennell,0.00035731300619342544
c.s.j.roy,0.00035731300619342544
jean-françois delvoye,0.00035731300619342544
charles mower,0.00035731300619342544
jean berret/phillippe starck,0.00035731300619342544
claudio maletto,0.00035731300619342544
van peteghem & lauriot prévost,0.00035731300619342544
chris butler,0.00035731300619342544
richard c. lazzara,0.00035731300619342544
mick price,0.00035731300619342544
peter beeldsnijder,0.00035731300619342544
lee creekmore,0.00035731300619342544
diller & schwill,0.00035731300619342544
wendell h. calkins,0.00035731300619342544
mortain-mavrikios,0.00035731300619342544
capital yachts,0.00035731300619342544
carter pyle,0.00035731300619342544
van peteghem/lauriot prévost,0.00035731300619342544
leif beiley,0.00035731300619342544
nelson marek,0.00035731300619342544
alfred mylne,0.00035731300619342544
peter snell,0.00035731300619342544
alan payne/bayliner,0.00035731300619342544
paul whiting,0.00035731300619342544
hoyt/herreshoff,0.00035731300619342544
uffa fox/o'day,0.00035731300619342544
marc-oliver von ahlen,0.00035731300619342544
eva hollman,0.00035731300619342544
bob ames,0.00035731300619342544
j. brooke,0.00035731300619342544
robert g. henry jr,0.00035731300619342544
howard lippincott jr,0.00035731300619342544
"william tripp, iii",0.00035731300619342544
vallicelli,0.00035731300619342544
david cheverton,0.00035731300619342544
humphreys yachts design,0.00035731300619342544
dick vermuelen,0.00035731300619342544
h. mccune,0.00035731300619342544
malcolm tennant,0.00035731300619342544
john p. fillip,0.00035731300619342544
johan valentijen,0.00035731300619342544
ray greene,0.00035731300619342544
kenneth albinsson,0.00035731300619342544
koos de ridder,0.00035731300619342544
e. farnham butler,0.00035731300619342544
gunter heuchmer & don lees,0.00035731300619342544
tord sunden/cheoy lee,0.00035731300619342544
vincent lebailly,0.00035731300619342544
sigurd herburn/columbia yachts,0.00035731300619342544
e. bjørn jensen,0.00035731300619342544
neil fowler,0.00035731300619342544
paul coble,0.00035731300619342544
